"","version","age_1","agegroup_1","sex_1","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16a","v16b","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v51","v52","v53","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v68a","v69","v70","v71","v72a","v72b","v73a","v73b","v74a","v74b","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142","v143","v144","v145","v146","v147","v148","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v159","v160","v161","v162","v163","v164","v165","v166","v167","v168","v169","v170","v171","v172","v173","v174","v175","v176","nv176","v177","v178","v179","nv179","v179a","v180","nv180","v180a","v181_1","v182","v183","v184","v185","v186","v187","v188","v189_1","v190","v191","v192","v193","v194_1","v195","day","month","zone","sample","panel","mergenumber","age_2","agegroup_2","sex_2","v189_2","v181_2","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","q16","q17","q18","q19","q20","q21","v194_2","date","w_arabs"
"11",2,76,7,2,1,3,3,6,3,3,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,2,1,4,3,2,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,NA,NA,NA,3,3,4,2,2,NA,NA,NA,3,3,3,3,3,2,3,NA,NA,NA,3,7,7,1,10,2,1,999,4,9,8,7,99,1,3,3,1,1,3,5,2,3,4,3,5,4,2,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,1,2,1,9,1,2,NA,2,NA,4,6,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,4,8,90,1,8,NA,NA,NA,1,8,1,2,4,1,3,NA,NA,NA,NA,8,3,1,2,38,6,NA,NA,16,4,5,18,4,5,12,2,"y3",2,5,3,1,3,1,1,4,0,565,1,1,26,1,3,2,0,35567432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"12",2,NA,NA,2,1,4,3,23,1,3,NA,NA,NA,NA,NA,9,3,2,2,NA,NA,2,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,3,3,1,2,2,NA,NA,NA,4,4,4,9,3,2,3,NA,NA,NA,3,7,7,1,10,5,1,5,99,4,10,8,1,1,3,1,3,3,1,5,2,3,3,2,3,3,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,2,1,2,1,2,1,2,NA,2,NA,1,5,4,5,1,4,1,1,1,4,1,1,2,9,2,3,1,5,99,99,1,99,NA,NA,NA,2,99,1,1,2,4,3,NA,NA,NA,NA,1,2,1,2,1,1,NA,NA,27,4,9,27,4,9,14,2,"33",5,2,3,1,3,1,1,4,0,1068,1,1,18,1,4,1,0,49859117,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"13",3,30,3,2,1,3,3,48,4,4,NA,NA,NA,NA,NA,3,9,3,4,NA,NA,2,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,NA,NA,NA,2,9,3,2,3,NA,NA,NA,3,NA,3,NA,NA,4,3,NA,NA,NA,9,999,999,999,999,999,999,1,99,NA,8,7,8,2,9,1,9,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,0,5,99,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,4,NA,5,NA,4,NA,1,9,4,NA,3,9,2,3,1,2,1,2,1,9,4,NA,2,NA,NA,1,1,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,98,99,NA,NA,80,80,40,4,97,1,1,2,4,3,NA,NA,NA,NA,9,8,8,2,1,1,NA,NA,1,1,6,16,4,9,18,1,"33",5,4,3,1,3,1,2,6,0,6600,1,1,3,2,3,3,0,35010176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"14",3,82,8,2,1,3,3,14,3,3,NA,NA,NA,NA,NA,2,2,4,4,NA,NA,1,4,1,3,1,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,NA,NA,NA,3,3,2,4,4,NA,NA,NA,4,NA,2,NA,NA,2,4,NA,NA,NA,3,999,3,7,2,1,1,1,3,NA,2,4,5,5,NA,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,1,6,9,7,10,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,2,3,2,3,4,NA,4,NA,4,NA,2,3,1,3,9,NA,2,1,1,3,2,NA,NA,5,6,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,9,6,97,90,NA,NA,20,60,20,1,13,1,1,3,2,4,NA,NA,NA,NA,8,3,1,3,1,1,NA,NA,25,4,9,1,1,6,12,NA,"23",5,5,3,1,3,1,2,3,0,7900,1,1,1,2,3,3,0,39221551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"15",3,28,2,1,1,5,3,14,4,3,NA,NA,NA,NA,NA,4,3,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,4,3,3,1,NA,NA,NA,2,NA,4,NA,NA,1,1,NA,NA,NA,1,1,6,1,3,3,4,9,2,NA,2,7,99,3,1,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,10,5,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,5,NA,3,9,2,1,5,NA,3,2,3,1,3,2,5,NA,1,3,3,2,5,NA,NA,1,5,NA,5,1,4,1,1,1,4,1,4,2,9,2,2,1,4,95,90,NA,NA,75,80,90,4,3,1,NA,NA,NA,NA,3,4,2,1,8,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,"12",5,3,6,1,4,4,NA,6,NA,1295,2,2,20,1,4,1,0,49974265,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296052634716034
"16",1,38,3,1,1,3,3,1,5,1,5,5,8,1,3,1,1,2,4,2,2,3,4,3,1,2,5,4,7,4,4,4,5,1,2,3,9,9,1,2,4,2,4,4,1,1,3,2,3,NA,4,NA,NA,3,3,9,8,9,3,10,10,1,6,1,1,999,1,NA,9,5,10,1,9,1,9,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,3,1,2,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,2,1,2,1,2,NA,NA,6,5,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,90,NA,NA,NA,NA,NA,NA,1,1,1,4,2,3,NA,NA,NA,NA,8,8,8,1,1,1,NA,NA,1,1,6,1,1,6,12,NA,"17",5,1,4,1,1,1,1,3,1,5000,1,1,27,1,3,2,1,35272395,38,NA,1,1,12,1,NA,1,90,2,3,6,5,1,3,4,2,2,2,3,3,3,3,9,5,1,1,11,1
"17",1,58,5,1,1,5,4,42,2,2,7,4,5,4,1,2,1,4,2,3,2,4,2,4,1,3,1,7,3,7,7,4,5,3,1,2,2,4,1,1,1,4,2,4,4,3,2,3,3,NA,3,NA,NA,3,3,8,6,8,2,5,3,7,1,5,5,5,3,NA,4,2,7,2,3,4,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,2,1,3,2,9,1,9,NA,NA,2,4,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,2,3,NA,NA,NA,NA,NA,NA,5,1,2,1,4,3,NA,NA,NA,NA,8,2,1,3,1,1,NA,NA,25,4,9,25,4,9,12,1,"8",5,1,2,1,3,1,3,6,1,3000,1,1,21,1,77,1,1,779230750,58,5,1,1,12,1,NA,9,90,1,2,2,5,1,4,4,4,2,2,2,4,2,4,4,2,1,1,11,1
"18",2,75,7,1,1,2,3,20,3,3,NA,NA,NA,NA,NA,1,2,4,2,NA,NA,4,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,NA,NA,NA,4,4,4,4,1,NA,NA,NA,3,3,4,4,4,3,4,NA,NA,NA,3,5,7,5,8,999,4,4,2,4,8,8,5,9,NA,3,1,3,1,4,5,5,5,5,5,3,4,3,1,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,2,3,2,3,2,3,2,NA,1,NA,5,5,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,9,8,90,3,8,40,40,40,2,3,1,1,2,9,9,NA,NA,NA,NA,1,2,1,2,1,1,NA,NA,28,4,9,28,4,9,8,2,"22",9,9,1,1,3,1,1,2,1,2300,1,1,22,1,4,1,1,49830081,75,NA,1,1,8,1,NA,3,90,2,4,2,3,1,4,3,4,4,3,3,3,2,4,5,5,2,1,11,1
"19",2,NA,6,2,1,9,9,55,4,3,NA,NA,NA,NA,NA,9,3,2,4,NA,NA,2,4,9,9,9,NA,NA,NA,NA,NA,NA,NA,1,2,9,2,NA,NA,NA,4,9,4,3,3,NA,NA,NA,1,4,3,9,9,3,3,NA,NA,NA,9,5,5,5,4,999,5,3,9,9,7,7,5,5,NA,9,NA,1,1,4,9,9,3,5,4,9,9,1,9,1,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,9,NA,9,NA,9,NA,9,NA,NA,3,NA,3,5,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,97,90,8,97,60,50,50,1,13,1,1,2,4,3,NA,NA,NA,NA,8,3,1,1,1,1,NA,NA,22,4,9,23,4,9,12,2,"36",4,9,3,1,3,1,1,3,0,2600,1,1,22,1,8,1,1,86376021,NA,6,2,1,12,1,NA,3,90,33,3,2,2,1,9,3,2,5,9,3,3,2,4,5,6,1,1,11,1
"20",2,22,1,1,1,2,1,17,4,9,NA,NA,NA,NA,NA,2,2,3,1,NA,NA,4,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,NA,NA,NA,2,4,3,3,1,NA,NA,NA,3,3,4,4,2,1,2,NA,NA,NA,3,7,8,6,7,4,5,9,2,4,7,7,5,2,3,1,3,3,2,2,4,4,2,2,5,2,3,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,2,4,NA,9,NA,4,NA,NA,3,NA,5,5,2,5,1,1,1,1,1,1,1,2,2,4,2,1,1,4,3,90,3,3,30,60,10,1,8,2,1,2,4,3,NA,NA,NA,NA,1,2,1,2,1,1,NA,NA,1,1,6,1,1,6,12,2,"96",9,1,1,1,9,1,1,3,1,158,1,1,18,1,8,1,1,89442624,22,1,1,1,12,1,NA,3,90,3,4,3,3,2,4,5,5,4,3,5,3,5,4,5,2,2,1,11,1
"21",2,69,6,2,1,2,4,26,3,3,NA,NA,NA,NA,NA,1,1,4,4,NA,NA,2,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,NA,NA,NA,3,4,4,4,4,NA,NA,NA,1,1,4,4,4,3,4,NA,NA,NA,2,4,7,2,4,1,1,999,2,1,1,7,99,5,NA,5,NA,3,2,5,5,5,4,4,3,9,1,2,3,4,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,2,4,NA,2,1,9,NA,NA,3,NA,5,5,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,4,3,3,3,3,80,100,10,1,3,1,1,9,9,9,NA,NA,NA,NA,2,8,1,1,1,1,NA,NA,23,4,9,23,4,9,12,2,"y3",5,9,3,1,3,1,1,3,1,2560,1,1,18,1,8,1,1,89950157,69,NA,2,1,12,1,NA,3,90,9,4,6,5,2,5,4,1,3,1,3,4,2,3,9,9,2,1,11,1
