"","ID","date","date_telephone","agree_1","citizen‎","age","age_group","sex","educ","v144","v6","v8_code1","v8_code2","v8_code3","v601","v9","v10","v11","v12","v700","v14","v15a","v15b","v15c","v19","v701","v20","v702","v21","v36","v703","v704","v27","v28","v29","v30","v25","v22","v33","v35","v86","v89","v45","v46","v47","v48","v49a","v49z","v49b","v49s","v49i","v49k","v49h","v49f","v49c","v49j","v49y","v49t","v52a","v52b","v52c","v50","v51","v622a","v622b","v623","v53","v58","v59","v60","v61","v62","v63","v64","v65","v66","v68","v69","v104","v104a","v504","v609","v705","v106","v107","v706","v111","v601b","v506","v73","v510","v511","v109","v110","v115","v116","v707a","v707b","v707c","v119","v120","v619","v121","v122","v123","v708","v125","v126","v127","v128","v620a","v620z","v620s","v620b","v620i","v620k","v620h","v620c","v620f","v620j","v620y","v620","v712","v130","v131","v513","v134","v137","v138_code","v139","v140","v141","v143_code","sector","data_collection","Version‎","language‎","date_after","agree_2","F1","F2","F3","F5","F7","N1","F9","F110","F10","N11","N50","N51","N622a","N622b","N623","w_panel1","w_panel2","w_jews_panel1","w_jews_panel2","w_arabs_panel1","w_arabs_panel2"
"11",266034,2022-10-18,"",1,1,29,2,2,9,4,3,18,NA,NA,4,3,3,3,3,3,3,2,3,1,4,1,2,1,3,4,1,1,NA,NA,NA,NA,2,2,3,4,3,2,1,4,3,3,5,3,7,0,1,1,6,1,2,0,0,NA,4,7,2,8,2,3,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,4,1,2,1,1,2,2,4,4,7,6,1,2,3,3,2,3,2,3,2,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,11,4,"",1,"21",3,6,1,1,1,1,1,1,"09/11/2022",1,1,1,1,3,3,1,2,2,3,4,8,2,6,NA,2,0.559547066688538,0.569664716720581,0.576482534408569,0.609166741371155,NA,NA
"12",266035,2022-10-18,"",1,1,36,3,1,8,4,4,1,15,28,2,3,3,4,3,4,2,1,4,2,4,3,2,3,3,4,2,1,NA,NA,NA,NA,3,1,2,2,3,2,2,3,5,1,7,5,98,2,2,2,3,0,0,0,0,NA,7,6,4,8,2,3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,2,3,4,4,1,2,3,4,3,7,4,2,3,1,3,3,3,2,3,1,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,5,"",1,"12",2,5,3,1,1,1,1,1,"19/11/2022",1,1,3,1,2,5,2,2,3,2,3,8,1,2,NA,2,0.924137711524963,0.874429285526276,0.952108085155487,0.935064494609833,NA,NA
"13",266036,2022-10-18,"",1,1,NA,5,2,4,3,3,18,NA,NA,1,5,4,5,3,3,2,4,1,3,4,2,1,1,1,1,2,1,NA,NA,NA,NA,2,1,3,2,98,4,3,4,1,1,8,0,4,8,6,6,0,0,0,0,0,NA,10,3,0,8,7,8,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,1,3,3,1,1,2,3,2,2,3,4,2,1,4,4,2,2,2,2,2,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,5,"",1,"98",3,6,3,1,1,1,1,1,"17/11/2022",1,1,5,6,1,7,1,1,2,2,4,10,6,10,NA,6,1.59732496738434,1.44929575920105,1.64567029476166,1.54979372024536,NA,NA
"14",266037,2022-10-18,"",1,1,NA,5,1,9,5,1,56,NA,NA,2,4,4,5,3,3,2,3,1,4,2,1,1,2,2,3,3,1,NA,NA,NA,NA,3,1,1,1,3,1,2,3,1,1,10,3,2,10,6,4,1,1,1,1,1,NA,10,2,2,10,6,6,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,8,3,4,5,1,1,4,1,2,8,6,2,1,4,4,1,1,1,4,3,1,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,3,5,"",1,"11",5,12,4,1,1,1,1,1,"09/11/2022",1,1,1,4,1,7,1,1,1,3,4,10,5,8,NA,3,0.695505619049072,0.659768879413605,0.716556072235107,0.705519020557404,NA,NA
"15",266038,2022-10-18,"",1,1,24,2,1,7,3,5,34,4,NA,2,5,3,5,4,4,2,1,2,4,4,10,2,2,2,1,98,1,NA,NA,NA,NA,3,98,3,2,4,3,3,4,1,1,10,0,0,7,10,0,0,0,0,0,0,NA,10,0,0,10,0,6,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,7,1,3,2,2,2,2,2,3,5,1,2,1,3,3,3,3,4,1,1,98,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,2,2,"2013",1,"54",5,11,7,1,1,1,1,1,"16/11/2022",1,1,4,1,1,7,1,1,2,2,4,10,0,7,NA,0,0.893822371959686,0.905301511287689,0.920875191688538,0.968077480792999,NA,NA
"16",266039,2022-10-21,"",1,1,NA,2,1,8,5,3,15,NA,NA,2,4,2,2,3,4,2,4,1,3,2,1,3,2,3,4,2,2,NA,NA,NA,NA,2,2,2,2,3,2,2,3,2,3,2,5,8,3,2,1,6,5,6,2,1,NA,2,8,7,8,7,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,3,3,3,3,1,3,3,3,3,5,3,2,1,3,3,3,3,3,2,1,2,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,4,"",1,"24",2,5,2,1,1,1,1,1,"09/11/2022",1,1,3,3,2,1,2,3,2,2,4,6,4,2,NA,2,0.678417265415192,0.745337665081024,0.698950529098511,0.797021329402924,NA,NA
"17",266040,2022-10-18,"",1,1,43,4,1,8,5,2,4,NA,NA,1,4,4,5,2,2,1,1,3,4,2,1,3,3,3,4,1,4,NA,NA,NA,NA,1,1,2,3,3,3,2,4,4,4,7,3,3,7,3,5,2,0,1,0,0,NA,3,0,2,6,2,4,NA,3,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,5,NA,NA,96,5,4,4,1,1,3,4,4,4,4,1,2,3,2,4,4,2,4,3,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,3,"1990",1,"3",2,9,5,1,1,1,1,1,"09/11/2022",1,2,NA,5,1,6,4,3,3,2,3,4,4,4,NA,2,0.85966169834137,0.874651849269867,0.885680615901947,0.935302495956421,NA,NA
"18",266042,2022-10-18,"",1,1,NA,2,2,7,3,3,1,NA,NA,2,4,3,5,4,2,1,2,3,1,4,3,3,3,2,3,1,2,NA,NA,NA,NA,1,2,3,2,4,2,2,3,5,5,5,2,1,7,0,0,0,0,0,0,0,NA,3,3,3,8,2,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,7,3,3,3,2,2,3,3,3,8,3,1,2,4,3,3,1,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,6,"",2,"34",3,9,4,1,1,1,1,1,"17/11/2022",1,1,4,2,4,5,2,1,3,3,4,8,6,3,NA,4,0.793210208415985,0.786218106746674,0.817217826843262,0.840736567974091,NA,NA
"19",266043,2022-10-18,"",1,1,42,4,1,7,2,1,9,NA,NA,1,3,3,5,4,4,2,1,4,2,3,3,2,2,2,2,1,2,NA,NA,NA,NA,3,1,3,2,4,4,2,3,1,1,5,0,0,9,5,5,0,0,0,0,0,NA,4,0,0,8,3,6,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,7,1,5,5,3,2,4,4,4,5,2,2,1,3,4,4,2,3,4,4,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,4,"",1,"98",5,9,7,1,1,1,1,1,"09/11/2022",1,1,4,5,1,7,2,1,3,1,4,10,7,10,NA,5,0.799672842025757,0.730299711227417,0.823876082897186,0.780940592288971,NA,NA
"20",266044,2022-10-18,"",1,1,45,4,2,5,5,4,18,28,NA,2,5,4,5,4,4,1,2,1,3,4,3,98,2,1,3,4,1,NA,NA,NA,NA,1,2,4,4,4,4,1,4,2,3,5,5,5,5,1,1,5,0,2,5,0,NA,0,5,5,5,0,5,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,5,NA,NA,2,4,2,2,2,2,1,3,4,5,1,2,1,4,1,4,4,4,98,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,14,4,"",1,"44",5,9,5,1,1,1,1,1,"09/11/2022",1,1,4,2,1,5,1,3,4,3,3,5,3,5,NA,0,1.13803482055664,1.16720306873322,1.17247903347015,1.24813997745514,NA,NA
"21",266045,2022-10-18,"",1,1,55,5,1,7,5,2,4,NA,NA,10,5,5,4,3,3,1,1,4,2,4,14,1,3,1,3,2,1,NA,NA,NA,NA,1,1,1,4,3,4,1,2,1,1,10,7,7,8,7,8,1,4,4,0,0,NA,10,4,3,10,5,7,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,1,2,5,5,1,1,4,2,2,4,3,1,2,4,4,4,3,4,3,3,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,6,"",2,"11",4,10,4,1,1,1,1,1,"10/11/2022",1,1,1,6,1,2,1,28,2,3,4,10,6,7,NA,4,0.750693440437317,0.705488979816437,0.773414254188538,0.754409432411194,NA,NA
"22",266046,2022-10-18,"",1,1,50,5,2,7,1,2,102,NA,NA,2,4,3,98,3,4,2,1,4,2,4,3,3,1,1,1,2,1,NA,NA,NA,NA,1,1,2,1,3,98,3,2,98,98,9,2,98,10,10,7,0,0,98,0,0,NA,10,9,5,10,6,NA,8,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,8,2,1,1,1,3,1,2,3,7,5,2,4,1,3,98,98,98,1,1,1,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,4,"",2,"23",1,8,4,1,1,1,1,1,"23/11/2022",1,1,5,1,1,8,1,1,2,98,4,10,5,NA,7,2,0.519615769386292,0.406323134899139,0.535342693328857,0.434498637914658,NA,NA
"23",266047,2022-10-18,"",1,1,37,3,2,8,1,3,15,NA,NA,3,5,3,4,4,4,2,2,1,4,4,10,3,1,1,2,3,1,NA,NA,NA,NA,2,2,4,2,2,2,3,4,1,1,9,0,0,9,9,9,0,0,5,0,0,NA,9,5,5,9,0,NA,8,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,10,2,3,0,2,2,3,2,3,8,4,2,4,1,3,2,3,3,2,2,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,2,5,"",2,"41",1,7,5,1,1,1,1,1,"16/11/2022",1,1,5,6,1,5,1,1,2,3,4,10,6,NA,10,0,0.566864132881165,0.473150432109833,0.584021091461182,0.505959928035736,NA,NA
"24",266048,2022-10-18,"",1,1,NA,4,1,8,5,3,15,NA,NA,1,4,4,5,3,3,2,2,1,4,4,3,3,1,2,3,2,1,NA,NA,NA,NA,3,1,1,3,3,3,2,3,4,4,10,5,9,5,0,0,0,0,4,0,0,NA,9,5,0,10,0,1,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,1,2,4,4,3,3,2,3,3,10,2,4,1,2,2,4,4,3,3,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,3,"1990",1,"12",3,7,4,1,1,1,1,1,"09/11/2022",1,1,4,4,1,6,1,1,3,1,3,10,1,2,NA,0,0.85966169834137,0.874651849269867,0.885680615901947,0.935302495956421,NA,NA
"25",266049,2022-10-18,"",1,1,29,2,2,8,5,2,18,NA,NA,2,4,5,3,3,4,2,4,3,1,4,98,2,2,4,4,3,2,NA,NA,NA,NA,1,2,3,3,4,3,3,3,5,5,5,5,98,0,0,0,5,0,4,0,0,NA,5,5,5,6,4,1,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,5,NA,NA,9,3,2,3,2,2,1,4,4,6,2,1,4,3,2,98,98,98,98,98,98,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,40,3,"1996",1,"21",4,5,2,1,1,1,1,1,"09/11/2022",1,1,20,1,1,5,2,3,2,3,3,7,4,2,NA,1,0.602051854133606,0.647296249866486,0.62027382850647,0.692181468009949,NA,NA
"26",266050,2022-10-18,"",1,1,NA,6,2,4,5,4,1,NA,NA,1,5,4,5,3,3,2,1,3,4,3,98,2,2,1,2,2,2,NA,NA,NA,NA,3,1,2,2,3,3,2,3,1,1,8,5,5,3,3,3,2,5,3,1,2,NA,10,7,1,9,8,7,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,2,3,5,5,3,3,4,2,2,7,2,2,1,4,3,2,2,2,3,3,1,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,5,"",2,"24",1,9,2,1,1,1,1,1,"09/11/2022",1,1,1,4,2,2,1,2,2,3,3,9,7,7,NA,5,1.74212694168091,1.76132833957672,1.79485487937927,1.88346350193024,NA,NA
"27",266051,2022-10-18,"",1,1,33,3,2,4,1,2,66,NA,NA,4,4,4,4,3,4,2,2,1,4,4,3,2,2,2,2,2,2,NA,NA,NA,NA,2,1,2,2,3,2,2,3,4,1,9,1,5,1,9,9,0,1,3,3,2,NA,8,6,1,9,6,NA,7,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,1,2,4,2,1,1,3,2,2,8,7,4,2,3,3,2,3,2,2,3,1,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,2,2,"2009",2,"33",4,12,8,1,1,1,1,1,"09/11/2022",1,1,4,1,2,3,3,1,2,4,3,8,7,NA,6,4,0.815251350402832,0.720263779163361,0.83992612361908,0.770208775997162,NA,NA
"28",266052,2022-10-18,"",1,1,26,2,2,8,3,1,15,NA,NA,4,4,5,2,4,3,1,3,4,1,4,3,3,1,2,2,3,1,NA,NA,NA,NA,4,1,4,1,4,2,4,4,1,1,10,0,0,8,9,9,9,0,0,0,0,NA,10,0,0,10,0,10,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,2,1,2,2,1,2,4,1,1,8,3,2,1,3,4,4,4,4,4,4,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,7,"",2,"44",1,7,7,1,1,1,1,1,"09/11/2022",1,1,1,6,1,5,1,1,1,4,4,10,0,10,NA,0,0.892280757427216,0.889274120330811,0.919286906719208,0.950938761234283,NA,NA
"29",266053,2022-10-18,"",1,1,25,2,2,8,5,2,1,NA,NA,2,3,3,4,3,4,1,4,1,2,4,1,3,2,2,3,3,1,NA,NA,NA,NA,2,98,4,3,3,2,3,4,5,1,7,6,98,3,3,3,6,0,98,98,0,NA,6,4,3,10,0,3,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,3,NA,NA,98,NA,NA,2,3,3,4,1,2,3,3,3,9,7,1,2,3,3,3,3,2,98,1,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,4,"",1,"24",4,9,5,1,1,1,1,1,"09/11/2022",1,1,1,1,1,7,2,3,2,3,4,9,0,3,NA,0,0.602051854133606,0.647296249866486,0.62027382850647,0.692181468009949,NA,NA
"30",266054,2022-10-18,"",1,1,NA,3,2,6,1,3,1,NA,NA,2,4,3,4,3,98,2,1,4,3,2,1,3,1,1,1,1,1,NA,NA,NA,NA,4,1,2,2,3,3,2,3,1,1,8,3,3,5,10,10,0,0,3,0,0,NA,8,7,1,8,2,NA,5,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,5,NA,NA,11,3,2,0,1,1,1,1,3,6,3,2,4,1,3,3,1,1,4,3,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,4,"",2,"24",3,9,5,1,1,1,1,1,"09/11/2022",1,1,6,6,1,7,1,2,3,2,2,7,4,NA,6,0,0.503924787044525,0.418318539857864,0.519176781177521,0.447325855493546,NA,NA
"31",266055,2022-10-18,"",1,1,NA,1,1,5,3,3,4,NA,NA,2,5,4,5,4,4,1,2,1,3,4,14,2,2,1,2,1,1,NA,NA,NA,NA,1,1,1,1,2,1,1,1,1,1,8,2,1,10,2,1,0,0,0,0,0,NA,8,3,0,10,1,6,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,1,1,4,5,1,2,3,1,2,6,7,2,1,4,4,2,2,1,3,2,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,12,4,"",1,"3",1,7,3,1,1,1,1,1,"12/11/2022",1,1,4,5,1,6,1,1,1,2,4,9,4,7,NA,3,1.49987626075745,1.5734281539917,1.5452721118927,1.6825338602066,NA,NA
"32",266056,2022-10-18,"",1,1,NA,2,1,5,4,3,28,NA,NA,1,4,4,4,3,2,2,1,2,3,3,3,3,2,2,2,2,1,NA,NA,NA,NA,3,1,98,98,3,4,3,3,1,1,8,2,4,6,8,4,0,2,2,0,1,NA,7,5,2,9,2,5,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,1,3,2,2,2,2,3,2,2,7,4,2,1,4,3,2,2,3,4,3,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,1,4,"",1,"24",5,7,4,1,1,1,1,1,"09/11/2022",1,1,1,6,1,4,1,1,2,3,2,9,1,5,NA,0,1.14199912548065,1.21904921531677,1.17656338214874,1.30358123779297,NA,NA
