"","id","date","agree","age","agegroup","gender","educ","v5","v6","v8_code","v501","v514","v12","v13","v15","v16","v19","v20","v21","v503A","v25","v22","v26","v27","v28","v29","v30","v502","v45","v46","v47","v48","v49A","v49B","v49C","v49D","v49H","v49I","v49S","v49K","v49J","v50","v51","v52A","v52B","v52I","v52K","v52R","v63","v64","v65","v66","v67","v68","v69","v504","v73","v505","v506","v104E","v106","v107","v507","v508","v509","v111","v510","v511","v115","v116","v512_code","v513","v134","v135","v137","v139","v140","v141","v143_code","v144","v147","Language","sector","date_after","agree_after","E1_after","E2_after","E4_after","E7_after","E8A_after_code1","E8A_after_code2","E8A_after_code3","E8B_after_code1","E8B_after_code2","E8B_after_code3","E9_after","E10_after","E147_after","E17_after","E18_after","Institute","weights_panel_1","weights_panel_2","educ_w","religiosity_w","educ_arabs_w"
"44",975,"31/01/2020",1,NA,7,1,3,1,1,13,3,1,3,1,4,3,2,3,4,4,1,2,NA,NA,NA,NA,NA,NA,1,4,1,1,0,10,5,0,5,0,0,0,0,5,5,5,10,5,NA,NA,2,4,2,4,4,4,4,4,1,5,3,2,4,4,2,2,1,4,3,4,8,5,33,5,NA,5,1,3,"4",2,1,4,1,1,1,"04/03/2020",1,1,2,1,6,"72","71","","32","","",2,3,3,1,1,1,1.87128420840388,2.09344265543256,1,3,1
"45",976,"09/02/2020",1,75,7,1,5,1,1,33,5,1,4,1,4,1,3,3,2,1,3,1,NA,NA,NA,NA,NA,NA,2,3,2,2,6,2,0,4,0,7,4,4,0,9,4,9,3,0,NA,NA,1,3,4,3,4,4,4,4,1,6,5,1,5,1,8,8,8,2,3,1,10,7,21,5,NA,2,2,4,"4.5",2,1,3,1,1,1,"04/03/2020",1,1,8,5,2,"64","","","24","","",3,3,1,1,1,1,0.813601687649164,0.782618572324398,3,3,2
"46",992,"29/01/2020",1,75,7,2,6,1,3,12,1,NA,1,98,4,98,1,98,3,NA,1,1,NA,NA,NA,NA,NA,NA,3,4,2,2,5,98,98,98,98,98,98,98,98,3,6,10,98,1,NA,NA,4,98,3,4,4,98,98,98,3,4,3,1,2,1,1,1,1,5,3,1,7,6,21,2,1942,1,1,4,"3",2,1,5,1,1,1,"05/03/2020",1,1,1,5,2,"41","","","01","","",1,4,1,1,1,1,0.719122699947309,0.738385073888072,3,4,2
"47",999,"03/02/2020",1,75,7,1,8,1,5,13,3,2,2,1,3,4,1,2,4,4,1,2,NA,NA,NA,NA,NA,NA,1,3,1,1,4,7,8,4,4,3,0,3,5,6,8,4,7,6,NA,NA,4,1,3,4,4,4,4,1,1,6,0,3,5,3,2,6,9,6,3,1,7,4,59,2,1960,1,1,4,"4",2,1,5,1,1,1,"08/03/2020",1,1,2,5,5,"43","","","07","","",2,3,2,1,1,1,0.735888841118538,0.682562047209443,4,4,3
"48",1000,"29/01/2020",1,74,7,2,7,1,3,1,1,NA,4,2,4,3,1,3,4,NA,4,1,NA,NA,NA,NA,NA,NA,3,4,2,2,6,2,2,4,2,3,98,98,1,6,3,6,3,3,NA,NA,2,4,1,4,4,3,3,4,1,3,1,1,1,1,1,1,1,4,3,4,8,3,24,5,NA,10,1,3,"5",6,1,5,1,1,1,"05/03/2020",1,1,1,5,6,"43","60","56","24","16","",1,4,1,1,1,1,0.735888841118538,0.682562047209443,4,4,3
"49",1002,"29/01/2020",1,74,7,2,7,1,3,33,4,NA,4,2,3,1,2,1,3,NA,2,2,NA,NA,NA,NA,NA,NA,2,4,1,1,4,6,1,0,2,0,0,0,0,7,9,0,6,4,NA,NA,2,3,3,4,4,2,3,4,3,5,1,2,3,3,2,2,4,6,1,1,7,1,8,7,NA,1,1,3,"5",2,1,5,1,1,1,"05/03/2020",1,1,2,5,6,"72","","","31","","",3,2,1,1,1,1,0.735888841118538,0.682562047209443,4,4,3
"50",1005,"29/01/2020",1,74,7,1,8,1,4,65,10,NA,2,1,3,4,2,3,4,NA,1,2,NA,NA,NA,NA,NA,NA,2,4,1,1,1,7,5,1,1,1,1,1,1,1,7,1,7,1,NA,NA,4,2,98,3,3,4,4,4,1,1,1,2,4,4,2,2,2,6,3,1,5,1,22,2,1973,1,1,99,"4.5",2,1,5,1,1,1,"04/03/2020",1,1,2,4,2,"94","","","94","","",2,9,1,1,1,1,0.735888841118538,0.682562047209443,4,4,3
"51",1010,"30/01/2020",1,74,7,1,5,1,2,2,2,8,2,1,4,1,2,99,3,2,1,99,NA,NA,NA,NA,NA,NA,3,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,NA,NA,4,4,4,3,4,4,4,99,1,5,3,99,99,99,99,99,99,99,1,2,7,7,60,5,NA,10,1,3,"4",2,1,5,1,1,1,"11/03/2020",1,1,99,5,6,"94","","","94","","",11,3,1,1,1,1,0.719122699947309,0.738385073888072,3,4,2
"52",1011,"30/01/2020",1,74,7,2,5,1,2,12,1,3,3,2,4,3,3,4,4,4,1,2,NA,NA,NA,NA,NA,NA,1,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,NA,NA,2,4,4,4,4,4,4,4,3,6,4,99,98,99,99,99,99,5,1,5,5,3,11,1,1948,10,1,3,"4",2,1,4,2,1,1,"",NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,1,0.813601687649164,NA,3,3,2
"53",1012,"18/02/2020",1,73,7,2,8,1,2,67,3,1,1,1,3,4,1,2,4,1,4,1,NA,NA,NA,NA,NA,NA,3,4,2,2,10,0,0,0,10,0,0,0,0,8,0,10,0,5,NA,NA,4,1,1,4,4,1,3,4,3,6,0,1,1,1,1,1,1,1,3,4,5,1,21,3,9999,1,1,1,"3",2,1,5,1,3,1,"11/03/2020",1,1,1,4,8,"98","","","98","","",3,1,1,3,1,1,0.735888841118538,0.682562047209443,4,4,3
